Chai,10,14
Syrup,25,8
Cajun Seasoning,10,17
Olive Oil,10,16
Boysenberry Spread,25,19
Dried Pears,10,23
Curry Sauce,10,30
Walnuts,10,17
Fruit Cocktail,10,29
Chocolate Biscuits Mix,5,7
Marmalade,10,61
Scones,5,8
Beer,15,11
Crab Meat,30,14
Clam Chowder,10,7
Coffee,25,35
Chocolate,25,10
Dried Apples,10,40
Long Grain Rice,25,5
Gnocchi,30,29
Ravioli,20,15
Hot Pepper Sauce,10,16
Tomato Sauce,20,13
Mozzarella,10,26
Almonds,5,8
Mustard,15,10
Dried Plums,50,3
Green Tea,100,2
Granola,20,2
Potato Chips,30,1
Brownie Mix,10,9
Cake Mix,10,11
Tea,20,2
Pears,10,1
Peaches,10,1
Pineapple,10,1
Cherry Pie Filling,10,1
Green Beans,10,1
Corn,10,1
Peas,10,1
Tuna Fish,30,1
Smoked Salmon,30,2
Hot Cereal,50,3
Vegetable Soup,100,1
Chicken Soup,100,1
